capture_name,Repeat,X,Y,Z,L*,a*,b*,dE00*C
solid_blue_pupil_6,3,174.25597,31.780187,1015.8913,100,396.7421956,-416.9835246,41.13289252
solid_blue_pupil_6,4,174.34765,31.851205,1017.2079,100,396.2323377,-416.7908494,41.13050573
solid_blue_pupil_6,5,169.17922,30.842535,986.1554,100,396.8562737,-417.0330119,41.13345346
solid_blue_pupil_6,6,175.03719,31.915993,1020.9162,100,396.8046614,-417.121316,41.13367469
solid_blue_pupil_6,7,174.27004,31.782809,1016.4489,100,396.7416692,-417.0794167,41.13330248
solid_blue_pupil_6,8,171.69694,31.261762,1001.2397,100,397.2364342,-417.3785066,41.13609513
solid_blue_pupil_6,9,174.07169,31.732301,1015.2717,100,396.8766691,-417.1682011,41.13409573
solid_blue_pupil_6,10,174.47765,31.846742,1017.5924,100,396.4969114,-416.8973689,41.13177277
solid_blue_pupil_6,11,174.15194,31.664212,1015.4053,100,397.6569765,-417.6373487,41.13848487
solid_blue_pupil_6,12,173.38074,31.527029,1010.6385,100,397.6281596,-417.5624768,41.13807681
solid_blue_pupil_6,13,174.37118,31.802096,1017.2782,100,396.7337606,-417.1223862,41.13346273
solid_blue_pupil_7,1,160.62025,28.96345,922.19007,100,400.1340734,-416.1692478,41.13977168
solid_blue_pupil_7,2,161.57842,29.022879,927.87339,100,401.3043942,-417.0107242,41.1469156
solid_blue_pupil_7,3,161.93284,29.119256,929.48606,100,400.9667267,-416.6861171,41.14451006
solid_blue_pupil_7,4,162.3118,29.222632,931.96409,100,400.6045182,-416.5049758,41.14263642
solid_blue_pupil_7,5,161.92413,29.115824,929.76006,100,400.985971,-416.77094,41.14492897
solid_blue_pupil_7,6,161.62304,29.083563,928.07518,100,400.7599885,-416.6259802,41.14362478
solid_blue_pupil_7,7,161.50191,29.105989,927.41772,100,400.3035593,-416.3219651,41.14093961
solid_blue_pupil_7,8,162.13348,29.204643,930.88899,100,400.4593957,-416.3943278,41.1417231
solid_blue_pupil_7,9,162.14904,29.269034,930.9838,100,399.8273667,-415.9628898,41.13795469
solid_blue_pupil_7,10,162.07157,29.192884,930.80805,100,400.46564,-416.4592107,41.14201828
solid_blue_pupil_7,11,162.44141,29.32429,932.72248,100,399.8019874,-415.9587311,41.13785936
solid_blue_pupil_7,12,161.36299,29.012083,925.91452,100,401.0153854,-416.6526905,41.14451625
